ProductID,Name,Category,SubCategory,Price,Tags
100771,Mi Rancho® Flour Especial Tortilla 6”,Tortillas,Flour Tortilla,19.75,Especial
100335,Mi Rancho® Flour Tortilla 8”,Tortillas,Flour Tortilla,21.5,Flour
100294,Mi Rancho® Flour Burrito Tortilla 10”,Tortillas,Flour Tortilla,19.5,Burrito
100306,Mi Rancho® Flour Grande Tortilla 12”,Tortillas,Flour Tortilla,23.38,Grande
100322,Mi Rancho® Flour Especial Tortilla 13”,Tortillas,Flour Tortilla,26.6,Especial
100323,Mi Rancho® Flour Gigante Tortilla 14”,Tortillas,Flour Tortilla,29.63,Gigante
102371,Mi Rancho® Flour Gluten Free Tortilla 12”,Tortillas,Flour Tortilla,12.44,Gluten Free
102138,Mi Rancho® Non-GMO Flour Tortilla 12”,Tortillas,Non-GMO Tortilla,12.4,Non-GMO
102181,Mi Rancho® Non-GMO Flour Spinach Tortilla 12”,Tortillas,Non-GMO Tortilla,12.4,Spinach
102139,Mi Rancho® Non-GMO Flour Whole Wheat Tortilla 12”,Tortillas,Non-GMO Tortilla,12.4,Whole Wheat
101000,Mi Rancho® Non-GMO Blended Tortilla 7”,Tortillas,Blended Tortilla,12.75,Blended
101496,Mi Rancho® Non-GMO Blended Tortilla 5”,Tortillas,Blended Tortilla,25,Blended
100216,Mi Rancho® Corn White Thin Pre-Cut 4 Cut,Chips,Pre-Cut Chips,32.25,White Thin
100217,Mi Rancho® Corn White Thin Pre-Cut 6 Cut,Chips,Pre-Cut Chips,32.25,White Thin
100218,Mi Rancho® Corn White Super Thin Pre-Cut 4 Cut,Chips,Pre-Cut Chips,32.25,Super Thin
100290,Mi Rancho® Corn Yellow Thin Pre-Cut 4 Cut,Chips,Pre-Cut Chips,32.25,Yellow Thin
100291,Mi Rancho® Corn Yellow Thin Pre-Cut 6 Cut,Chips,Pre-Cut Chips,32.25,Yellow Thin
100378,Mi Rancho® Corn Tri Color Pre-Cut 6 Cut,Chips,Pre-Cut Chips,32.25,Tri Color
101702,Mi Rancho® Corn Yellow Non-GMO Pre-Cut 6 Cut,Chips,Pre-Cut Chips,32.25,Non-GMO
102681,Mi Rancho® Corn Yellow Pre-Cut 4 Cut,Chips,Pre-Cut Chips,31.5,Yellow
100879,Mi Rancho® Fried Yellow Cantina Chips,Chips,Fried Chips,13.5,Cantina
100234,Mi Rancho® Fried White Triangle Chips,Chips,Fried Chips,13.5,Triangle
100237,Mi Rancho® Fried Yellow Tostada Caseras,Chips,Tostadas,9.5,Tostada
100197,Mi Rancho® Corn Yellow Organic Tortilla 4.5”,Tortillas,Organic Corn Tortilla,13.22,Organic
100203,Mi Rancho® Corn Yellow Organic Tortilla 5.5”,Tortillas,Organic Corn Tortilla,29,Organic
